,count
is_segregating_gambcoluarab,7671327
is_multiallelic_gambcoluarab,3014075
is_segregating_both,758691
is_priv_gambcolu,6670271
is_priv_arab,239194
is_fixed_diff,3171
total_accessible_bases,11217869
