,count
is_segregating_gambcoluarab,21774658
is_multiallelic_gambcoluarab,8343460
is_segregating_both,3355685
is_priv_gambcolu,17613665
is_priv_arab,803949
is_fixed_diff,1359
total_accessible_bases,32529983
