,count
is_segregating_gambcoluarab,17126774
is_multiallelic_gambcoluarab,6807579
is_segregating_both,2795117
is_priv_gambcolu,13672688
is_priv_arab,657460
is_fixed_diff,1509
total_accessible_bases,25869385
