,count
is_segregating_gambcoluarab,25834162
is_multiallelic_gambcoluarab,9319002
is_segregating_both,3998685
is_priv_gambcolu,20666329
is_priv_arab,1167505
is_fixed_diff,1643
total_accessible_bases,40561667
