,phase2,phase3:gamb_colu,phase3:arab,phase3:gamb_colu_arab
2R,0.6574630008857281,0.7390312016707518,0.7359699927757811,0.6745387054141962
2L,0.580991571340468,0.7419799431423487,0.7257734126174297,0.6703654247713074
3R,0.6210697781251872,0.7122697015051803,0.6978025054221445,0.6393462806133461
3L,0.6120564919102833,0.7043408127679366,0.6968109428437125,0.6346995629595839
X,0.6246213815325142,0.6997034339748361,0.533184345463478,0.47969645439116604
