derived_sample_id	seq_tech	ebi_sample_acc
AB0175-Cx	HiSeq	ERS224070
AB0176-C	HiSeq	ERS224022
AB0176-Cx	HiSeq	ERS224022
AB0177-C	HiSeq	ERS224778
AB0177-Cx	HiSeq	ERS224778
AB0178-C	HiSeq	ERS224074
AB0178-Cx	HiSeq	ERS224074
AB0179-C	HiSeq	ERS224055
AB0179-Cx	HiSeq	ERS224055
AB0180-C	HiSeq	ERS224028
AB0180-Cx	HiSeq	ERS224028
AB0181-C	HiSeq	ERS223761
AB0182-C	HiSeq	ERS223922
AB0182-Cx	HiSeq	ERS223922
AB0183-C	HiSeq	ERS223994
AB0184-C	HiSeq	ERS223843
AB0185-C	HiSeq	ERS223844
AB0185-Cx	HiSeq	ERS223844
AB0186-C	HiSeq	ERS223938
AB0187-C	HiSeq	ERS223971
AB0187-Cx	HiSeq	ERS223971
AB0188-C	HiSeq	ERS223923
AB0188-Cx	HiSeq	ERS223923
AB0189-C	HiSeq	ERS223794
AB0190-C	HiSeq	ERS223749
AB0191-C	HiSeq	ERS224078
AB0191-Cx	HiSeq	ERS224078
AB0192-C	HiSeq	ERS223933
AB0192-Cx	HiSeq	ERS223933
AB0193-C	HiSeq	ERS223940
AB0193-Cx	HiSeq	ERS223940
AB0194-C	HiSeq	ERS223816
AB0194-CW	HiSeq	ERS386075
AB0195-C	HiSeq	ERS223840
AB0195-Cx	HiSeq	ERS223840
AB0196-C	HiSeq	ERS224007
AB0196-Cx	HiSeq	ERS224007
AB0197-C	HiSeq	ERS223875
AB0197-Cx	HiSeq	ERS223875
AB0198-C	HiSeq	ERS223967
AB0199-C	HiSeq	ERS224069
AB0199-Cx	HiSeq	ERS224069
AB0200-C	HiSeq	ERS224034
AB0200-Cx	HiSeq	ERS224034
AB0201-C	HiSeq	ERS224000
AB0201-Cx	HiSeq	ERS224000
AB0202-C	HiSeq	ERS224042
AB0202-Cx	HiSeq	ERS224042
AB0203-C	HiSeq	ERS224029
AB0203-Cx	HiSeq	ERS224029
AB0204-C	HiSeq	ERS223946
AB0205-C	HiSeq	ERS223790
AB0206-C	HiSeq	ERS223797
AB0206-CW	HiSeq	ERS386078
AB0207-C	HiSeq	ERS223771
AB0208-C	HiSeq	ERS223827
AB0209-C	HiSeq	ERS223861
AB0209-Cx	HiSeq	ERS223861
AB0210-C	HiSeq	ERS223873
AB0210-CW	HiSeq	ERS386081
AB0211-C	HiSeq	ERS223759
AB0212-C	HiSeq	ERS223909
AB0212-Cx	HiSeq	ERS223909
AB0213-C	HiSeq	ERS223756
AB0213-CW	HiSeq	ERS386084
AB0214-C	HiSeq	ERS223866
AB0214-CW	HiSeq	ERS386087
AB0215-C	HiSeq	ERS223778
AB0216-C	HiSeq	ERS223793
AB0216-CW	HiSeq	ERS386089
AB0217-C	HiSeq	ERS223750
AB0217-CW	HiSeq	ERS386091
AB0218-C	HiSeq	ERS223894
AB0219-C	HiSeq	ERS223910
AB0219-Cx	HiSeq	ERS223910
AB0220-C	HiSeq	ERS223768
AB0220-CW	HiSeq	ERS386093
AB0221-C	HiSeq	ERS223757
AB0222-C	HiSeq	ERS223990
AB0222-Cx	HiSeq	ERS223990
AB0223-C	HiSeq	ERS223867
AB0223-Cx	HiSeq	ERS223867
AB0224-C	HiSeq	ERS223804
AB0225-C	HiSeq	ERS223811
AB0226-C	HiSeq	ERS223818
AB0227-C	HiSeq	ERS223934
AB0227-Cx	HiSeq	ERS223934
AB0228-C	HiSeq	ERS224037
AB0228-Cx	HiSeq	ERS224037
AB0229-C	HiSeq	ERS223951
AB0229-Cx	HiSeq	ERS223951
AB0230-C	HiSeq	ERS224147
AB0230-Cx	HiSeq	ERS224147
AB0231-C	HiSeq	ERS224102
AB0232-C	HiSeq	ERS224085
AB0232-Cx	HiSeq	ERS224085
AB0233-C	HiSeq	ERS224118
AB0233-Cx	HiSeq	ERS224118
AB0234-C	HiSeq	ERS224096
AB0235-C	HiSeq	ERS224211
AB0235-Cx	HiSeq	ERS224211
AB0236-C	HiSeq	ERS224132
AB0236-Cx	HiSeq	ERS224132
AB0237-C	HiSeq	ERS224094
AB0238-C	HiSeq	ERS224227
AB0239-C	HiSeq	ERS224203
AB0239-Cx	HiSeq	ERS224203
AB0240-C	HiSeq	ERS224169
AB0240-Cx	HiSeq	ERS224169
AB0241-C	HiSeq	ERS224195
AB0241-Cx	HiSeq	ERS224195
AB0242-C	HiSeq	ERS224285
AB0243-C	HiSeq	ERS224221
AB0244-C	HiSeq	ERS224283
AB0245-C	HiSeq	ERS254330
AB0246-C	HiSeq	ERS224254
AB0247-C	HiSeq	ERS224110
AB0248-C	HiSeq	ERS224785
AB0249-C	HiSeq	ERS224162
AB0249-Cx	HiSeq	ERS224162
AB0250-C	HiSeq	ERS224213
AB0250-Cx	HiSeq	ERS224213
AB0251-C	HiSeq	ERS224133
AB0251-Cx	HiSeq	ERS224133
AB0252-C	HiSeq	ERS224143
AB0253-C	HiSeq	ERS224149
AB0255-C	HiSeq	ERS224783
AB0256-C	HiSeq	ERS224784
AB0256-Cx	HiSeq	ERS224784
AB0257-C	HiSeq	ERS224174
AB0257-Cx	HiSeq	ERS224174
AB0258-C	HiSeq	ERS224238
AB0258-Cx	HiSeq	ERS224238
AB0259-C	HiSeq	ERS224125
AB0259-Cx	HiSeq	ERS224125
AB0260-C	HiSeq	ERS224156
AB0261-C	HiSeq	ERS224656
AB0261-Cx	HiSeq	ERS224656
AB0262-C	HiSeq	ERS224210
AB0262-Cx	HiSeq	ERS224210
AB0263-C	HiSeq	ERS224223
AB0263-Cx	HiSeq	ERS224223
AB0264-C	HiSeq	ERS224114
AB0264-Cx	HiSeq	ERS224114
AB0265-C	HiSeq	ERS224095
AB0266-C	HiSeq	ERS224782
AB0266-Cx	HiSeq	ERS224782
AB0267-C	HiSeq	ERS224228
AB0268-C	HiSeq	ERS224295
AB0269-C	HiSeq	ERS224100
AB0269-Cx	HiSeq	ERS224100
AB0270-C	HiSeq	ERS224101
AB0271-C	HiSeq	ERS224148
AB0271-Cx	HiSeq	ERS224148
AB0272-C	HiSeq	ERS224247
AB0272-Cx	HiSeq	ERS224247
AB0273-C	HiSeq	ERS224154
AB0273-Cx	HiSeq	ERS224154
AB0274-C	HiSeq	ERS224294
AB0275-C	HiSeq	ERS224781
AB0276-C	HiSeq	ERS224319
AB0277-C	HiSeq	ERS224151
AB0278-C	HiSeq	ERS224165
AB0279-C	HiSeq	ERS224190
AB0279-Cx	HiSeq	ERS224190
AB0280-C	HiSeq	ERS224090
AB0280-Cx	HiSeq	ERS224090
AB0281-C	HiSeq	ERS224670
AB0281-Cx	HiSeq	ERS224670
AB0282-C	HiSeq	ERS224181
AB0282-Cx	HiSeq	ERS224181
AB0283-C	HiSeq	ERS224248
AB0284-C	HiSeq	ERS224089
