derived_sample_id	seq_tech	ebi_sample_acc
AD0109-C	HiSeq	ERS156808
AD0110-C	HiSeq	ERS046852
AD0111-C	HiSeq	ERS046848
AD0112-C	HiSeq	ERS046899
AD0113-C	HiSeq	ERS046883
AD0114-C	HiSeq	ERS046809
AD0115-C	HiSeq	ERS046846
AD0116-C	HiSeq	ERS046870
AD0117-C	HiSeq	ERS156856
AD0118-C	HiSeq	ERS046842
AD0119-C	HiSeq	ERS150971
AD0120-C	HiSeq	ERS176043
AD0121-C	HiSeq	ERS046890
AD0122-C	HiSeq	ERS046837
AD0123-C	HiSeq	ERS046835
AD0124-C	HiSeq	ERS046819
AD0125-C	HiSeq	ERS046815
AD0126-C	HiSeq	ERS046821
AD0127-C	HiSeq	ERS046828
AD0128-C	HiSeq	ERS046861
AD0129-C	HiSeq	ERS046881
AD0130-C	HiSeq	ERS046882
AD0131-C	HiSeq	ERS150972
AD0132-C	HiSeq	ERS046886
AD0133-C	HiSeq	ERS046825
AD0134-C	HiSeq	ERS046813
AD0135-C	HiSeq	ERS046850
AD0136-C	HiSeq	ERS046888
AD0137-C	HiSeq	ERS046891
AD0138-C	HiSeq	ERS151025
AD0139-C	HiSeq	ERS150947
AD0140-C	HiSeq	ERS150959
AD0141-C	HiSeq	ERS150948
AD0142-C	HiSeq	ERS151001
AD0143-C	HiSeq	ERS046843
AD0144-C	HiSeq	ERS150974
AD0145-C	HiSeq	ERS150975
AD0146-C	HiSeq	ERS150960
AD0147-C	HiSeq	ERS046822
AD0148-C	HiSeq	ERS046865
AD0149-C	HiSeq	ERS046833
AD0150-C	HiSeq	ERS046866
AD0151-C	HiSeq	ERS046879
AD0152-C	HiSeq	ERS046878
AD0153-C	HiSeq	ERS046876
AD0154-C	HiSeq	ERS046889
AD0155-C	HiSeq	ERS046896
AD0156-C	HiSeq	ERS046826
AD0157-C	HiSeq	ERS046817
AD0158-C	HiSeq	ERS151010
AD0159-C	HiSeq	ERS046874
AD0160-C	HiSeq	ERS150935
AD0161-C	HiSeq	ERS150936
AD0162-C	HiSeq	ERS046814
AD0163-C	HiSeq	ERS150950
AD0164-C	HiSeq	ERS046829
AD0165-C	HiSeq	ERS046863
AD0166-C	HiSeq	ERS046877
AD0167-C	HiSeq	ERS156799
AD0168-C	HiSeq	ERS156833
AD0169-C	HiSeq	ERS046816
AD0170-C	HiSeq	ERS046844
AD0171-C	HiSeq	ERS046812
AD0172-C	HiSeq	ERS046862
AD0173-C	HiSeq	ERS177591
AD0174-C	HiSeq	ERS046875
AD0175-C	HiSeq	ERS176041
AD0176-C	HiSeq	ERS176051
AD0177-C	HiSeq	ERS224244
AD0177-Cx	HiSeq	ERS224244
AD0178-C	HiSeq	ERS224202
AD0178-Cx	HiSeq	ERS224202
AD0179-C	HiSeq	ERS046868
AD0180-C	HiSeq	ERS224159
AD0181-C	HiSeq	ERS176059
AD0182-C	HiSeq	ERS177507
AD0183-C	HiSeq	ERS177604
AD0184-C	HiSeq	ERS176056
AD0185-C	HiSeq	ERS224191
AD0185-Cx	HiSeq	ERS224191
AD0186-C	HiSeq	ERS177538
AD0187-C	HiSeq	ERS176045
AD0188-C	HiSeq	ERS224240
AD0188-Cx	HiSeq	ERS224240
AD0189-C	HiSeq	ERS156826
AD0190-C	HiSeq	ERS156843
AD0191-C	HiSeq	ERS156851
AD0192-C	HiSeq	ERS176033
AD0193-C	HiSeq	ERS046839
AD0194-C	HiSeq	ERS046832
AD0195-C	HiSeq	ERS046810
AD0196-C	HiSeq	ERS046873
AD0197-C	HiSeq	ERS046840
AD0198-C	HiSeq	ERS046818
AD0199-C	HiSeq	ERS046853
AD0200-C	HiSeq	ERS046855
AD0201-C	HiSeq	ERS156494
AD0202-C	HiSeq	ERS156800
AD0203-C	HiSeq	ERS046860
AD0204-C	HiSeq	ERS046867
AD0205-C	HiSeq	ERS156868
AD0206-C	HiSeq	ERS156479
AD0207-C	HiSeq	ERS046823
AD0208-C	HiSeq	ERS156819
AD0209-C	HiSeq	ERS156797
AD0210-C	HiSeq	ERS046880
AD0214-C	HiSeq	ERS046824
AD0215-C	HiSeq	ERS046859
AD0216-C	HiSeq	ERS046851
AD0231-C	HiSeq	ERS150923
AD0232-C	HiSeq	ERS150977
