description,chrom,cross_id,fdr,fpr,frac_accessible,tnr,tpr,youden
phase2,2L,18-5,0.004120204314961737,0.210021211131923,0.580991571340468,0.7899787888680769,0.6447413149396809,0.43472010380775794
phase2,2L,29-2,0.005932544281827947,0.22030386188870285,0.580991571340468,0.7796961381112971,0.6617327212106779,0.44142885932197506
phase2,2L,36-9,0.0016755532655211027,0.09805760018082464,0.580991571340468,0.9019423998191753,0.651833712400306,0.5537761122194813
phase2,2L,37-3,0.0020494021312407688,0.1066009316596724,0.580991571340468,0.8933990683403276,0.6500194978002667,0.5434185661405944
phase2,2L,42-4,0.0009204411962186466,0.091588001435337,0.580991571340468,0.908411998564663,0.6443963288251788,0.5528083273898419
phase2,2L,45-1,0.0016596839351542758,0.10504336725455402,0.580991571340468,0.894956632745446,0.6509277549700081,0.545884387715454
phase2,2L,46-9,0.002360501918230125,0.124865732207031,0.580991571340468,0.875134267792969,0.6574328968322699,0.532567164625239
phase2,2L,47-6,0.0018400327126464186,0.11758937999698295,0.580991571340468,0.8824106200030171,0.6511958209424538,0.5336064409454708
phase2,2L,73-2,0.0013099567617388382,0.08186056694524682,0.580991571340468,0.9181394330547532,0.6535636250013218,0.5717030580560749
phase2,2L,78-2,0.0013404860722481737,0.09675646243055,0.580991571340468,0.90324353756945,0.6498040325923762,0.553047570161826
phase2,2L,80-2,0.002211246178052738,0.13410515950905608,0.580991571340468,0.8658948404909439,0.6564588396942642,0.522353680185208
phase2,2L,B5,0.0007776270047207013,0.06762321851808076,0.580991571340468,0.9323767814819193,0.6396149625210275,0.5719917440029467
phase2,2L,K2,0.0007713952969361995,0.05658327121544583,0.580991571340468,0.9434167287845542,0.6469716490859625,0.5903883778705166
phase2,2L,K4,0.0006120449706221275,0.056665695248440215,0.580991571340468,0.9433343047515598,0.6416080764584133,0.5849423812099732
phase2,2L,K6,0.0006536455800022748,0.056651942476393734,0.580991571340468,0.9433480575236063,0.6522582732946948,0.595606330818301
phase2,2R,18-5,0.004350291651242001,0.25036428802256233,0.6574630008857281,0.7496357119774377,0.7418244095252897,0.49146012150272744
phase2,2R,29-2,0.005765383144667189,0.309062272505843,0.6574630008857281,0.690937727494157,0.7420131140831351,0.43295084157729224
phase2,2R,36-9,0.0016414333471232773,0.1163898535816365,0.6574630008857281,0.8836101464183634,0.7301381867603115,0.613748333178675
phase2,2R,37-3,0.0019753403014438993,0.1531524409405245,0.6574630008857281,0.8468475590594755,0.7262153284326283,0.5730628874921038
phase2,2R,42-4,0.0009579492175886484,0.11213220499643793,0.6574630008857281,0.887867795003562,0.7281554814414364,0.6160232764449984
phase2,2R,45-1,0.0015623844281816746,0.14204642885281155,0.6574630008857281,0.8579535711471884,0.7314053736099028,0.589358944757091
phase2,2R,46-9,0.0022406706418262056,0.14972416003491473,0.6574630008857281,0.8502758399650853,0.7342623273757342,0.5845381673408194
phase2,2R,47-6,0.002059981786631404,0.1742221110986576,0.6574630008857281,0.8257778889013424,0.7313311958457012,0.5571090847470437
phase2,2R,73-2,0.0012256951128396037,0.10623171884803337,0.6574630008857281,0.8937682811519666,0.7325605397486444,0.626328820900611
phase2,2R,78-2,0.0012591771259646452,0.1301721844536166,0.6574630008857281,0.8698278155463834,0.730360401794761,0.6001882173411444
phase2,2R,80-2,0.002360469359989301,0.2065515543285225,0.6574630008857281,0.7934484456714774,0.7319417716209309,0.5253902172924083
phase2,2R,B5,0.0007135054291918349,0.07836662506366379,0.6574630008857281,0.9216333749363362,0.7310284778024526,0.6526618527387889
phase2,2R,K2,0.0006420573235322878,0.06701440886928813,0.6574630008857281,0.9329855911307119,0.7265520438435883,0.6595376349743001
phase2,2R,K4,0.0005416375246191635,0.06507833957457493,0.6574630008857281,0.9349216604254251,0.7296924828652833,0.6646141432907084
phase2,2R,K6,0.0005063059835394599,0.05986755046737142,0.6574630008857281,0.9401324495326285,0.7294665217088604,0.6695989712414889
phase2,3L,18-5,0.004349853270538443,0.21444799269163028,0.6120564919102833,0.7855520073083697,0.7019546128154464,0.48750662012381607
phase2,3L,29-2,0.005737958791549349,0.2554466113177088,0.6120564919102833,0.7445533886822913,0.7016318767846792,0.44618526546697046
phase2,3L,36-9,0.001699712455510492,0.0991923217507163,0.6120564919102833,0.9008076782492838,0.6923154418058185,0.5931231200551021
phase2,3L,37-3,0.0019721004212879373,0.1158795124661105,0.6120564919102833,0.8841204875338895,0.6885519166595958,0.5726724041934852
phase2,3L,42-4,0.0009922727321176117,0.08785532486845116,0.6120564919102833,0.9121446751315488,0.6873961702879507,0.5995408454194995
phase2,3L,45-1,0.0015287627340689499,0.10967751282125576,0.6120564919102833,0.8903224871787443,0.6925213710048572,0.5828438581836015
phase2,3L,46-9,0.0023322492435642285,0.12084424975372555,0.6120564919102833,0.8791557502462745,0.6969184524213532,0.5760742026676278
phase2,3L,47-6,0.0016854104814864766,0.11811578613646143,0.6120564919102833,0.8818842138635385,0.6939657145103346,0.5758499283738732
phase2,3L,73-2,0.0012580680671601752,0.09259319802295066,0.6120564919102833,0.9074068019770494,0.6951297935494577,0.602536595526507
phase2,3L,78-2,0.0012325880634894487,0.10481700199134794,0.6120564919102833,0.8951829980086521,0.6909944949056446,0.5861774929142967
phase2,3L,80-2,0.002125198301101119,0.1525176687404557,0.6120564919102833,0.8474823312595443,0.6924445833405831,0.5399269146001275
phase2,3L,B5,0.000869979505065029,0.06984753514611891,0.6120564919102833,0.930152464853881,0.6907799359054203,0.6209324007593013
phase2,3L,K2,0.0008732743876153755,0.06356731496440689,0.6120564919102833,0.9364326850355931,0.6902684448569676,0.6267011298925607
phase2,3L,K4,0.0006422228545216383,0.05818992336014874,0.6120564919102833,0.9418100766398513,0.6863175108674846,0.6281275875073358
phase2,3L,K6,0.0005906831787028295,0.05311219597245227,0.6120564919102833,0.9468878040275477,0.6867099707015767,0.6335977747291244
phase2,3R,18-5,0.00444182407928149,0.21319447246469075,0.6210697781251872,0.7868055275353092,0.7083390367825232,0.49514456431783227
phase2,3R,29-2,0.005852348682191209,0.2440766267596027,0.6210697781251872,0.7559233732403973,0.7095846730257425,0.4655080462661396
phase2,3R,36-9,0.0017603835348568569,0.10022420412847287,0.6210697781251872,0.8997757958715271,0.7015698266548489,0.601345622526376
phase2,3R,37-3,0.002008324544400922,0.11873844536656902,0.6210697781251872,0.881261554633431,0.6944196738073508,0.5756812284407817
phase2,3R,42-4,0.001010422351075466,0.08488057430801468,0.6210697781251872,0.9151194256919853,0.6954150794339511,0.6105345051259365
phase2,3R,45-1,0.0016046158825421548,0.11143034766803811,0.6210697781251872,0.888569652331962,0.69959529642885,0.588164948760812
phase2,3R,46-9,0.002319523550864247,0.11910576382140849,0.6210697781251872,0.8808942361785915,0.7042798465899974,0.585174082768589
phase2,3R,47-6,0.00185211700105976,0.12151972039493807,0.6210697781251872,0.8784802796050619,0.700209320047669,0.5786895996527308
phase2,3R,73-2,0.0012987041647148391,0.08872669976513958,0.6210697781251872,0.9112733002348604,0.7007052094640638,0.6119785096989241
phase2,3R,78-2,0.001303820741253796,0.10256942933886014,0.6210697781251872,0.8974305706611398,0.6985436292766423,0.5959741999377821
phase2,3R,80-2,0.002245969639220601,0.14621216105243146,0.6210697781251872,0.8537878389475686,0.6998351298311446,0.5536229687787131
phase2,3R,B5,0.0008951389458540052,0.06368446687920652,0.6210697781251872,0.9363155331207935,0.6998710468871303,0.6361865800079238
phase2,3R,K2,0.0008886015409644283,0.05816079689841663,0.6210697781251872,0.9418392031015834,0.6976429246040562,0.6394821277056395
phase2,3R,K4,0.0006949572302069309,0.051698205765430556,0.6210697781251872,0.9483017942345694,0.6978066908765178,0.6461084851110872
phase2,3R,K6,0.0006568357113048851,0.04951965024533488,0.6210697781251872,0.9504803497546651,0.6982133848332466,0.6486937345879116
phase2,X,18-5,0.015350695147745876,0.45865275507061554,0.6246213815325142,0.5413472449293845,0.7184138064873996,0.2597610514167841
phase2,X,29-2,0.0088959879538461,0.3918754449914501,0.6246213815325142,0.6081245550085499,0.7067776459996302,0.3149022010081801
phase2,X,36-9,0.01805316380151326,0.44977760601240163,0.6246213815325142,0.5502223939875983,0.7239352272723791,0.27415762125997745
phase2,X,37-3,0.02219705639790779,0.5033258903807781,0.6246213815325142,0.49667410961922187,0.7116479477593507,0.20832205737857246
phase2,X,42-4,0.012844403907657863,0.4187292670960656,0.6246213815325142,0.5812707329039344,0.7063798884635437,0.2876506213674781
phase2,X,45-1,0.01887010759797825,0.486930079266195,0.6246213815325142,0.513069920733805,0.7108142335991442,0.22388415433294906
phase2,X,46-9,0.015142474900490453,0.44363389051044655,0.6246213815325142,0.5563661094895535,0.7127235520900395,0.269089661579593
phase2,X,47-6,0.018853149436040793,0.46743608197957365,0.6246213815325142,0.5325639180204264,0.708093612767193,0.2406575307876193
phase2,X,73-2,0.014253669866596208,0.4343548247712552,0.6246213815325142,0.5656451752287448,0.6873267188924015,0.2529718941211463
phase2,X,78-2,0.011616051353736731,0.4367669715062325,0.6246213815325142,0.5632330284937674,0.7022901840893124,0.26552321258308
phase2,X,80-2,0.02187054971692616,0.4748496015622539,0.6246213815325142,0.5251503984377461,0.7209327961103574,0.24608319454810346
phase2,X,B5,0.022326039355984928,0.4797245089007103,0.6246213815325142,0.5202754910992897,0.7171776841524932,0.23745317525178278
phase2,X,K2,0.01702747686122029,0.43122363606193725,0.6246213815325142,0.5687763639380627,0.716230753265393,0.2850071172034556
phase2,X,K4,0.010388470301503503,0.3466135732957511,0.6246213815325142,0.6533864267042488,0.7138335563886178,0.36721998309286663
phase2,X,K6,0.009454145577949337,0.33398745164109844,0.6246213815325142,0.6660125483589016,0.7123960135667364,0.3784085619256379
phase3,2L,18-5,0.0031895195905677545,0.2079967608795963,0.7419799431423487,0.7920032391204037,0.8256159345971209,0.6176191737175247
