path	sample	reads	bases
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/3/f/5/1215536/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0063-Cx	77841211	7426396800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/b/0/3/7/1215183/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0301-C	78423443	7530637400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/0/f/8/1215244/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0075-C	90099257	8649572400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/b/c/5/1215550/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0169-C	89747555	8632382200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/a/8/8/e/1215800/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AS0025-C	36899485	3533413200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/1/c/9/1214937/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0024-Cx	100964766	9735068800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/f/7/0/1216343/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0066-C	82295109	7824907800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/f/a/0/1217253/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0043-C	103273288	9851831600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/4/0/0/1215563/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0019-C	109573489	10249135600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/e/f/d/1215551/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0046-C	71407631	6800311000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/d/4/c/1216958/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0278-C	94381650	8959938200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/c/0/4/1213546/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0305-C	62496569	5941381800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/0/f/5/1216493/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0142-C	115616653	9825857800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/f/2/5/f/1215465/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0053-C	91513535	8613790600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/5/3/1/1217184/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0064-C	92343200	8850699200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/9/0/b/1216935/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0055-C	41434728	3904529200
