,count,mean,min,25%,50%,75%,max,fraction_accessible
pre-filtering,220.00000,0.00281,0.00165,0.00227,0.00244,0.00268,0.01687,1.00000
post-filtering,220.00000,0.00037,0.00016,0.00021,0.00023,0.00032,0.00853,0.69970
