derived_sample_id	seq_tech	ebi_sample_acc
BL0164-C	HiSeqX	ERS1098474
BL0165-C	HiSeqX	ERS1098476
BL0166-C	HiSeqX	ERS1098477
BL0167-C	HiSeqX	ERS1098479
BL0168-C	HiSeqX	ERS1098481
BL0169-C	HiSeqX	ERS1098482
BL0170-C	HiSeqX	ERS1098485
BL0171-C	HiSeqX	ERS1098487
BL0172-C	HiSeqX	ERS1098488
BL0173-C	HiSeqX	ERS1098490
BL0175-C	HiSeqX	ERS1098492
BL0176-C	HiSeqX	ERS1098493
BL0177-C	HiSeqX	ERS1098495
BL0178-C	HiSeqX	ERS1098497
BL0179-C	HiSeqX	ERS1098499
BL0180-C	HiSeqX	ERS1098501
BL0181-C	HiSeqX	ERS1098502
BL0182-C	HiSeqX	ERS1098504
BL0183-C	HiSeqX	ERS1098506
BL0184-C	HiSeqX	ERS1098508
BL0185-C	HiSeqX	ERS1098510
BL0186-C	HiSeqX	ERS1098511
BL0187-C	HiSeqX	ERS1098513
BL0188-C	HiSeqX	ERS1098515
BL0189-C	HiSeqX	ERS1098517
BL0190-C	HiSeqX	ERS1098519
BL0191-C	HiSeqX	ERS1098520
BL0192-C	HiSeqX	ERS1098522
BL0193-C	HiSeqX	ERS1098524
BL0230-C	HiSeqX	ERS1098596
BL0231-C	HiSeqX	ERS1098597
BL0232-C	HiSeqX	ERS1098598
BL0233-C	HiSeqX	ERS1098599
BL0234-C	HiSeqX	ERS1098600
BL0235-C	HiSeqX	ERS1098601
BL0236-C	HiSeqX	ERS1098602
BL0237-C	HiSeqX	ERS1098603
BL0238-C	HiSeqX	ERS1098604
BL0239-C	HiSeqX	ERS1098605
BL0240-C	HiSeqX	ERS1098606
BL0241-C	HiSeqX	ERS1098607
BL0242-C	HiSeqX	ERS1098608
BL0243-C	HiSeqX	ERS1098609
BL0244-C	HiSeqX	ERS1098610
BL0246-C	HiSeqX	ERS1106704
BL0247-C	HiSeqX	ERS1106705
BL0251-C	HiSeqX	ERS1106706
BL0252-C	HiSeqX	ERS1106707
BL0253-C	HiSeqX	ERS1106708
BL0254-C	HiSeqX	ERS1106709
BL0255-C	HiSeqX	ERS1106710
BL0256-C	HiSeqX	ERS1106711
BL0257-C	HiSeqX	ERS1106712
BL0258-C	HiSeqX	ERS1106713
BL0259-C	HiSeqX	ERS1106714
BL0260-C	HiSeqX	ERS1106715
BL0261-C	HiSeqX	ERS1106716
BL0263-C	HiSeqX	ERS1106717
BL0264-C	HiSeqX	ERS1106718
BL0266-C	HiSeqX	ERS1106719
BL0267-C	HiSeqX	ERS1106720
BL0269-C	HiSeqX	ERS1106721
BL0271-C	HiSeqX	ERS1106722
BL0272-C	HiSeqX	ERS1106723
BL0273-C	HiSeqX	ERS1106724
BL0275-C	HiSeqX	ERS1106725
BL0276-C	HiSeqX	ERS1106726
BL0277-C	HiSeqX	ERS1106727
BL0278-C	HiSeqX	ERS1106728
BL0280-C	HiSeqX	ERS1106729
BL0281-C	HiSeqX	ERS1106730
BL0282-C	HiSeqX	ERS1106731
BL0283-C	HiSeqX	ERS1106732
BL0284-C	HiSeqX	ERS1106733
BL0285-C	HiSeqX	ERS1106734
BL0286-C	HiSeqX	ERS1106735
BL0287-C	HiSeqX	ERS1106736
BL0288-C	HiSeqX	ERS1106737
BL0290-C	HiSeqX	ERS1106738
BL0291-C	HiSeqX	ERS1106739
BL0292-C	HiSeqX	ERS1106740
BL0293-C	HiSeqX	ERS1106741
BL0294-C	HiSeqX	ERS1106742
BL0296-C	HiSeqX	ERS1106743
BL0297-C	HiSeqX	ERS1106744
BL0298-C	HiSeqX	ERS1106745
BL0299-C	HiSeqX	ERS1106746
BL0300-C	HiSeqX	ERS1106747
BL0301-C	HiSeqX	ERS1106748
BL0302-C	HiSeqX	ERS1106749
BL0303-C	HiSeqX	ERS1106750
BL0304-C	HiSeqX	ERS1106751
BL0305-C	HiSeqX	ERS1106752
BL0306-C	HiSeqX	ERS1106753
BL0307-C	HiSeqX	ERS1106754
BL0308-C	HiSeqX	ERS1106755
BL0309-C	HiSeqX	ERS1106756
BL0310-C	HiSeqX	ERS1106757
BL0311-C	HiSeqX	ERS1106758
BL0312-C	HiSeqX	ERS1106759
BL0313-C	HiSeqX	ERS1106760
BL0314-C	HiSeqX	ERS1106761
BL0315-C	HiSeqX	ERS1106762
BL0316-C	HiSeqX	ERS1106763
BL0317-C	HiSeqX	ERS1106764
BL0318-C	HiSeqX	ERS1106765
BL0319-C	HiSeqX	ERS1106766
BL0320-C	HiSeqX	ERS1106767
BL0321-C	HiSeqX	ERS1106768
BL0322-C	HiSeqX	ERS1106769
BL0323-C	HiSeqX	ERS1106770
BL0324-C	HiSeqX	ERS1106771
BL0325-C	HiSeqX	ERS1106772
BL0326-C	HiSeqX	ERS1106773
BL0327-C	HiSeqX	ERS1106774
BL0328-C	HiSeqX	ERS1106775
BL0332-C	HiSeqX	ERS1106776
BL0333-C	HiSeqX	ERS1106777
BL0334-C	HiSeqX	ERS1106780
BL0335-C	HiSeqX	ERS1106782
BL0336-C	HiSeqX	ERS1106784
BL0337-C	HiSeqX	ERS1106785
BL0338-C	HiSeqX	ERS1106787
BL0339-C	HiSeqX	ERS1106789
BL0340-C	HiSeqX	ERS1106790
BL0341-C	HiSeqX	ERS1106792
BL0342-C	HiSeqX	ERS1106794
BL0343-C	HiSeqX	ERS1106796
BL0344-C	HiSeqX	ERS1106798
BL0345-C	HiSeqX	ERS1106799
BL0346-C	HiSeqX	ERS1106802
BL0347-C	HiSeqX	ERS1106804
BL0348-C	HiSeqX	ERS1106806
BL0349-C	HiSeqX	ERS1106808
BL0350-C	HiSeqX	ERS1106810
BL0351-C	HiSeqX	ERS1106812
BL0352-C	HiSeqX	ERS1106814
BL0353-C	HiSeqX	ERS1106816
BL0354-C	HiSeqX	ERS1106778
BL0355-C	HiSeqX	ERS1106779
BL0356-C	HiSeqX	ERS1106781
BL0357-C	HiSeqX	ERS1106783
BL0358-C	HiSeqX	ERS1106786
BL0359-C	HiSeqX	ERS1106788
BL0360-C	HiSeqX	ERS1106791
BL0361-C	HiSeqX	ERS1106793
BL0362-C	HiSeqX	ERS1106795
BL0363-C	HiSeqX	ERS1106797
BL0364-C	HiSeqX	ERS1106800
BL0365-C	HiSeqX	ERS1106801
BL0366-C	HiSeqX	ERS1106803
BL0367-C	HiSeqX	ERS1106805
BL0368-C	HiSeqX	ERS1106807
BL0369-C	HiSeqX	ERS1106809
BL0370-C	HiSeqX	ERS1106811
BL0371-C	HiSeqX	ERS1106813
BL0372-C	HiSeqX	ERS1106815
BL0373-C	HiSeqX	ERS1106817
BL0374-C	HiSeqX	ERS1106818
BL0375-C	HiSeqX	ERS1106819
BL0376-C	HiSeqX	ERS1106820
BL0377-C	HiSeqX	ERS1106821
BL0378-C	HiSeqX	ERS1106822
BL0379-C	HiSeqX	ERS1106823
BL0380-C	HiSeqX	ERS1106824
BL0381-C	HiSeqX	ERS1106825
BL0382-C	HiSeqX	ERS1106826
BL0383-C	HiSeqX	ERS1106827
BL0384-C	HiSeqX	ERS1106828
BL0385-C	HiSeqX	ERS1106829
BL0386-C	HiSeqX	ERS1106830
BL0387-C	HiSeqX	ERS1106831
BL0388-C	HiSeqX	ERS1106832
BL0389-C	HiSeqX	ERS1106833
BL0390-C	HiSeqX	ERS1106834
BL0391-C	HiSeqX	ERS1106835
BL0392-C	HiSeqX	ERS1106836
BL0393-C	HiSeqX	ERS1106837
BL0394-C	HiSeqX	ERS1106838
BL0395-C	HiSeqX	ERS1106839
BL0295-CW	HiSeqX	ERS1297090
BL0174-CW	HiSeqX	ERS1297973
BL0250-CW	HiSeqX	ERS1297086
BL0329-CW	HiSeqX	ERS1297972
BL0262-CW	HiSeqX	ERS1297836
BL0330-CW	HiSeqX	ERS1297091
BL0268-CW	HiSeqX	ERS1297456
BL0331-CW	HiSeqX	ERS1297458
BL0270-CW	HiSeqX	ERS1297088
BL0274-CW	HiSeqX	ERS1297642
BL0279-CW	HiSeqX	ERS1297089
BL0248-CW	HiSeqX	ERS1297085
BL0289-CW	HiSeqX	ERS1297457
BL0077-CW	HiSeqX	ERS1297105
