,count,mean,min,25%,50%,75%,max,fraction_accessible
pre-filtering,220.00000,0.00476,0.00285,0.00402,0.00444,0.00522,0.01342,1.00000
post-filtering,220.00000,0.00165,0.00028,0.00078,0.00127,0.00207,0.00882,0.69970
