,kt_2La
AB0477-C,2
AB0502-C,2
AB0503-C,2
AB0504-C,2
AB0505-C,2
AB0508-C,2
AB0509-C,2
AB0510-C,2
AB0517-C,2
AB0523-C,2
AB0524-C,2
AB0525-C,2
AB0526-C,2
AB0527-C,2
AB0528-C,2
AB0529-C,2
AB0530-C,2
AB0531-C,2
AB0532-C,2
AB0533-C,0
AB0536-C,2
AB0537-C,2
AB0538-C,2
AB0408-C,2
AB0298-C,2
AB0299-C,2
AB0301-C,2
AB0302-C,2
AB0303-C,0
AB0309-C,2
AB0312-C,2
AB0313-C,2
AB0314-C,2
AB0315-C,2
AB0316-C,2
AB0318-C,1
AB0325-C,1
BP0009-C,1
BP0010-C,0
BP0011-C,1
BP0012-C,1
BP0013-C,1
BP0015-C,1
BP0016-C,0
BP0017-C,1
BP0018-C,0
BP0019-C,0
BP0020-C,1
BP0021-C,1
BP0022-C,1
BP0023-C,0
BP0024-C,0
BP0025-C,1
BP0026-C,1
BP0027-C,0
BP0028-C,1
BP0029-C,0
BP0030-C,0
BP0031-C,0
BP0032-C,1
BP0033-C,1
BP0034-C,0
BP0035-C,1
BP0036-C,1
BP0037-C,0
BP0038-C,1
BP0039-C,1
BP0040-C,1
BP0041-C,1
BP0042-C,1
BP0043-C,1
BP0044-C,0
BP0045-C,1
BP0046-C,1
BP0047-C,0
BP0048-C,2
BP0049-C,0
BP0050-C,0
BP0051-C,0
BP0052-C,0
BP0053-C,0
BP0054-C,0
BP0055-C,1
BP0056-C,0
BP0057-C,2
BP0058-C,1
BP0059-C,0
BP0060-C,1
BP0061-C,0
BP0062-C,0
BP0064-C,0
BP0065-C,1
BP0066-C,1
BP0067-C,0
BP0069-C,0
BP0070-C,0
BP0071-C,0
BP0072-C,0
BP0074-C,0
BP0075-C,1
BP0076-C,1
BP0077-C,1
BP0078-C,1
BP0079-C,1
BP0080-C,1
BP0081-C,2
BP0001-C,0
BP0002-C,0
BP0003-C,0
BP0004-C,1
BP0006-C,2
BP0007-C,0
BP0008-C,2
BK0001-C,0
BK0002-C,0
BK0003-C,2
BK0005-C,0
BK0006-C,1
BK0007-C,1
BK0008-C,1
BK0009-C,2
BK0010-C,1
BK0011-C,0
BK0013-C,1
BK0014-C,0
BK0015-C,0
BK0016-C,0
BK0017-C,0
BK0018-C,0
BK0019-C,1
BK0021-C,1
BK0022-C,1
BK0023-C,0
BK0024-C,1
BK0025-C,1
BK0026-C,0
BK0027-C,0
BK0029-C,2
BK0030-C,0
BK0031-C,2
BK0032-C,2
BK0033-C,1
BK0034-C,1
BK0035-C,2
BK0037-C,0
BK0038-C,0
BK0039-C,1
BK0040-C,2
BK0041-C,0
BK0042-C,1
BK0043-C,1
BK0045-C,1
BK0046-C,0
BK0047-C,1
BK0048-C,1
BK0049-C,1
BK0050-C,1
BK0051-C,2
BK0053-C,0
BK0054-C,1
BK0055-C,1
BK0056-C,2
BK0057-C,1
BK0058-C,0
BK0059-C,0
BK0061-C,0
BK0062-C,0
BK0063-C,0
BK0064-C,0
BK0065-C,1
BK0066-C,0
BK0067-C,1
BK0069-C,1
BK0070-C,0
BK0071-C,0
BK0072-C,2
BK0074-C,0
BK0077-C,0
BK0078-C,0
BK0080-C,2
BK0081-C,0
BK0082-C,0
BK0083-C,1
BK0085-C,1
BK0086-C,1
BK0094-CW,2
AY0072-C,1
AY0062-C,1
AY0055-C,1
AY0034-C,0
AY0078-C,1
AY0033-C,0
AY0064-C,1
AY0032-C,0
AY0067-C,0
AY0059-C,2
AY0027-C,0
AY0060-C,1
AY0061-C,0
AY0031-C,0
AY0091-C,1
AY0052-C,2
AY0021-C,0
AY0045-C,2
AY0068-C,1
AY0016-C,0
AY0039-C,0
AY0042-C,0
AY0088-C,2
AY0015-C,1
AY0020-C,2
AY0077-C,0
AY0049-C,0
AY0029-C,1
AY0040-C,2
AY0054-C,0
AY0046-C,0
AY0057-C,1
AY0025-C,1
AY0069-C,1
AY0070-C,0
AY0028-C,0
AY0073-C,0
AY0084-C,0
AY0075-C,1
AY0014-C,0
AY0092-C,0
AY0087-C,0
AY0044-C,1
AY0071-C,1
AY0090-C,0
AY0026-C,0
AY0050-C,1
AY0041-C,2
AY0085-C,0
AY0023-C,1
AY0038-C,1
AY0007-C,2
AY0018-C,0
AY0019-C,0
AY0086-C,1
AY0076-C,0
AY0079-C,0
AY0082-C,1
AY0006-C,1
AY0083-C,1
AY0063-C,0
AY0011-C,1
AY0012-C,0
AY0047-C,2
AY0010-C,0
AY0035-C,1
AY0074-C,1
AY0056-C,1
AY0089-C,2
AY0048-C,1
AY0053-C,1
AY0065-C,2
AY0066-C,1
AY0024-C,0
AY0080-C,0
AY0017-C,1
AY0043-C,0
AY0013-C,0
AY0036-C,1
AY0058-C,1
AN0007-C,1
AN0008-C,1
AN0009-C,0
AN0010-C,1
AN0011-C,1
AN0012-C,1
AN0013-C,1
AN0014-C,1
AN0015-C,1
AN0016-C,0
AN0017-Cx,0
AN0018-C,1
AN0019-C,1
AN0020-C,1
AN0021-C,0
AN0022-C,0
AN0023-C,2
AN0024-C,2
AN0025-Cx,0
AN0026-Cx,2
AN0027-C,0
AN0028-C,1
AN0029-C,0
AN0030-C,2
AN0031-C,0
AN0032-C,0
AN0033-C,0
AN0034-C,2
AN0035-C,1
AN0036-C,2
AN0037-C,0
AN0038-C,0
AN0039-C,0
AN0040-C,2
AN0041-C,0
AN0042-C,0
AN0043-C,2
AN0044-C,0
AN0045-C,0
AN0046-C,2
AN0047-C,2
AN0048-C,2
AN0049-C,2
AN0050-C,0
AN0051-C,0
AN0053-C,2
AN0054-C,2
AN0055-C,1
AN0056-C,0
AN0057-C,1
AN0058-C,2
AN0059-C,0
AN0060-C,2
AN0061-Cx,1
AN0062-C,0
AN0063-Cx,0
AN0064-C,2
AN0065-Cx,0
AN0066-C,0
AN0067-Cx,2
AN0068-Cx,1
AN0069-C,1
AN0070-C,2
AN0071-C,2
AN0072-Cx,0
AN0073-C,1
AN0074-C,0
AN0075-Cx,1
AN0076-C,2
AN0077-C,1
AN0078-C,2
AN0079-C,1
AN0080-C,1
AN0081-C,0
AN0082-C,2
AN0083-C,0
AN0084-C,1
AN0085-C,1
AN0086-C,0
AN0087-C,1
AN0088-C,0
AN0089-C,2
AN0090-C,2
AN0091-C,2
AN0092-C,2
AN0093-C,2
AN0094-C,0
AN0095-C,2
AN0096-C,0
AN0097-C,0
AN0098-C,0
AN0099-C,1
AN0100-C,0
AN0101-Cx,0
AN0102-C,0
AN0103-C,0
AN0104-C,0
AN0105-C,2
AN0106-C,1
AN0107-C,1
AN0108-C,2
AN0109-C,0
AN0111-C,0
AN0112-Cx,2
AN0113-C,1
AN0114-C,2
AN0115-C,1
AN0117-C,0
AN0118-Cx,2
AN0119-C,0
AN0120-C,0
AN0121-Cx,2
AN0122-C,1
AN0123-Cx,1
AN0124-C,1
AN0125-Cx,1
AN0126-C,1
AN0127-Cx,1
AN0128-C,0
AN0129-C,1
AN0130-C,1
AN0131-C,1
AN0132-Cx,1
AN0133-Cx,1
AN0134-Cx,1
AN0135-Cx,2
AN0136-Cx,1
AN0137-C,1
AN0138-C,1
AN0139-C,1
AN0140-C,1
AN0141-C,1
AN0142-C,1
AN0143-C,0
AN0144-C,1
AN0146-C,1
AN0147-C,1
AN0148-C,1
AN0149-C,0
AN0151-C,1
AN0152-C,1
AN0153-C,1
AN0154-C,1
AN0155-C,1
AN0156-C,0
AN0157-Cx,1
AN0158-C,1
AN0159-Cx,1
AN0160-Cx,1
AN0162-Cx,1
AN0163-C,1
AN0164-C,1
AN0165-C,0
AN0166-C,1
AN0167-C,1
AN0168-C,1
AN0169-C,1
AN0170-C,1
AN0171-C,1
AN0172-C,1
AN0173-C,1
AN0174-Cx,1
AN0175-C,1
AN0176-C,0
AN0177-C,1
AN0178-C,1
AN0179-C,1
AN0180-C,1
AN0181-C,1
AN0182-C,0
AN0183-C,1
AN0184-C,1
AN0185-C,1
AN0186-Cx,1
AN0187-C,1
AN0188-C,1
AN0189-C,1
AN0190-C,1
AN0191-C,1
AN0192-C,1
AN0193-Cx,1
AN0194-C,1
AN0195-Cx,1
AN0196-C,0
AN0197-Cx,1
AN0198-C,0
AN0199-C,1
AN0200-C,1
AN0201-Cx,1
AN0202-Cx,1
AN0203-Cx,1
AN0204-C,1
AN0205-C,1
AN0206-C,1
AN0207-C,1
AN0208-C,1
AN0209-C,0
AN0210-Cx,1
AN0212-C,1
AN0213-C,1
AN0214-C,0
AN0215-C,1
AN0217-C,1
AN0218-C,1
AN0219-C,1
AN0220-C,1
AN0221-C,1
AN0222-Cx,1
AN0223-C,1
AN0224-Cx,0
AN0225-Cx,1
AN0226-Cx,1
AN0227-Cx,0
AN0228-C,1
AN0229-Cx,1
AN0230-Cx,2
AN0231-Cx,1
AN0232-C,1
AN0233-C,1
AN0234-C,0
AN0235-C,1
AN0236-Cx,2
AN0237-Cx,0
AN0238-C,2
AN0239-C,0
AN0240-C,1
AN0241-C,2
AN0242-C,1
AN0243-C,2
AN0244-C,1
AN0245-C,1
AN0246-C,1
AN0247-C,1
AN0248-C,2
AN0250-C,2
AN0251-C,1
AN0252-C,1
AN0253-C,0
AN0254-C,1
AN0255-C,1
AN0256-C,1
AN0258-C,2
AN0259-Cx,1
AN0260-C,0
AN0261-Cx,1
AN0262-C,0
AN0263-Cx,1
AN0264-C,1
AN0265-C,0
AN0266-C,2
AN0267-Cx,0
AN0268-C,1
AN0269-C,2
AN0270-C,1
AN0271-C,0
AN0272-C,2
AN0275-C,0
AN0276-C,2
AN0277-C,1
AN0278-C,0
AN0279-C,0
AN0280-C,0
AN0281-C,2
AN0282-Cx,1
AN0283-Cx,1
AN0284-Cx,1
AN0285-C,1
AN0286-Cx,0
AN0287-Cx,0
AN0288-Cx,1
AN0289-C,1
AN0290-Cx,0
AN0291-Cx,1
AN0292-C,1
AN0293-Cx,1
AN0294-C,1
AN0295-C,2
AN0296-Cx,1
AN0297-C,1
AN0298-Cx,1
AN0299-C,1
AN0300-C,1
AN0301-Cx,2
AN0302-C,1
AN0303-C,0
AN0304-C,1
AN0305-C,1
AN0306-C,0
AN0307-C,1
AN0308-C,1
AN0309-Cx,1
AN0310-C,0
AN0311-C,1
AN0312-C,1
AN0313-C,0
AN0314-C,1
AN0315-C,1
AN0316-C,1
AN0317-C,1
AN0318-C,1
AN0319-C,1
AN0320-C,1
AN0321-C,0
AB0293-C,2
AB0294-C,2
AB0295-C,2
AB0297-C,2
AN0418-C,1
AN0419-C,1
AN0421-C,1
AN0423-C,0
AN0424-C,0
AN0425-C,2
AN0426-C,2
AN0427-C,2
AN0428-C,2
AN0430-C,2
AN0431-C,2
AN0433-C,2
AN0434-C,2
AN0435-C,2
AN0436-C,2
AN0437-C,2
AN0438-C,2
AN0440-C,2
AN0442-C,2
AN0443-C,2
AN0444-C,2
AN0445-C,2
AN0448-C,2
AN0449-C,2
AN0451-C,0
AN0453-C,2
AN0454-C,2
AN0455-C,2
AN0457-C,0
AN0458-C,0
AN0460-C,2
AN0466-C,0
AN0468-C,2
AN0469-C,2
AN0470-C,2
AN0471-C,2
AN0474-C,2
AN0475-C,2
AN0476-C,2
AN0477-C,2
AN0478-C,2
AN0479-C,2
AN0480-C,2
AN0485-C,2
AN0486-C,2
AN0487-C,2
AN0488-C,1
AN0492-C,2
AN0493-C,2
VBS02039-4431STDY6672907,2
VBS02040-4431STDY6672908,2
VBS02041-4431STDY6672909,0
VBS02042-4431STDY6672910,2
VBS02043-4431STDY6672911,2
VBS02044-4431STDY6672912,1
VBS02045-4431STDY6672913,1
VBS02046-4431STDY6672914,1
VBS02047-4431STDY6672915,1
VBS02048-4431STDY6672916,1
VBS02003-4431STDY6672871,2
VBS02004-4431STDY6672872,2
VBS02005-4431STDY6672873,0
VBS02006-4431STDY6672874,0
VBS02007-4431STDY6672875,2
VBS02008-4431STDY6672876,2
VBS02009-4431STDY6672877,2
VBS02010-4431STDY6672878,2
VBS02011-4431STDY6672879,1
VBS02012-4431STDY6672880,0
VBS02014-4431STDY6672882,2
VBS02015-4431STDY6672883,2
VBS02016-4431STDY6672884,0
VBS02017-4431STDY6672885,0
VBS02018-4431STDY6672886,2
VBS02020-4431STDY6672888,2
VBS02021-4431STDY6672889,2
VBS02022-4431STDY6672890,0
VBS02023-4431STDY6672891,2
VBS02024-4431STDY6672892,2
VBS02025-4431STDY6672893,2
VBS02026-4431STDY6672894,2
VBS02027-4431STDY6672895,1
VBS02028-4431STDY6672896,2
VBS02029-4431STDY6672897,0
VBS02030-4431STDY6672898,1
VBS02031-4431STDY6672899,2
VBS02032-4431STDY6672900,1
VBS02033-4431STDY6672901,2
VBS02034-4431STDY6672902,1
VBS02035-4431STDY6672903,2
VBS02036-4431STDY6672904,2
VBS02037-4431STDY6672905,0
VBS02038-4431STDY6672906,0
AN0348-C,1
AN0402-C,1
AN0325-C,2
AN0408-C,1
AN0344-C,1
AN0326-C,2
AN0341-C,2
AN0338-C,2
AN0379-C,2
AN0332-C,2
AN0585-CW,2
AN0577-CW,0
AN0586-CW,1
AN0601-CW,1
AN0616-CW,1
AN0544-CW,2
AN0578-CW,1
AN0587-CW,1
AN0619-CW,1
AN0579-CW,1
AN0588-CW,1
AN0603-CW,1
AN0580-CW,1
AN0604-CW,1
AN0581-CW,1
AN0590-CW,1
AN0574-CW,1
AN0582-CW,0
AN0607-CW,1
AN0626-CW,1
AN0398-CW,1
AN0621-CW,1
AN0405-CW,1
AN0622-CW,1
AN0633-CW,1
AN0623-CW,1
AN0634-CW,1
AN0624-CW,1
AN0643-CW,1
AN0495-CW,1
AN0499-CW,0
AN0500-CW,1
AN0503-CW,1
AN0511-CW,1
AP0007-C,0
AP0021-C,1
AP0019-C,1
AP0020-C,1
AP0009-C,2
AP0002-C,1
AP0034-C,0
AP0035-C,1
AP0031-C,1
AP0008-C,0
AP0011-C,2
AP0032-C,0
AP0010-C,1
AP0025-C,1
AP0022-C,2
AP0006-C,0
AP0030-C,1
AP0023-C,1
AP0033-C,1
AP0005-C,1
AP0014-Cx,1
AP0013-Cx,2
AP0017-Cx,0
AS0001-C,1
AS0002-Cx,1
AS0003-C,1
AS0004-C,1
AS0005-C,0
AS0006-C,1
AS0007-C,1
AS0008-Cx,1
AS0009-C,1
AS0010-C,1
AS0011-C,1
AS0012-C,1
AS0013-C,1
AS0014-Cx,1
AS0015-Cx,1
AS0016-C,1
AS0017-C,1
AS0018-C,1
AS0019-Cx,1
AS0020-C,0
AS0021-C,1
AS0022-C,1
AS0023-Cx,1
AS0024-Cx,1
AS0026-C,1
AS0027-Cx,1
AS0028-C,0
AS0029-C,1
AS0030-C,1
AS0032-C,1
AS0033-C,1
AS0034-C,1
AS0035-Cx,1
AS0036-C,1
AS0037-C,1
AS0039-C,1
AS0040-C,1
AS0041-C,1
AS0042-C,1
AS0044-Cx,1
AS0045-Cx,1
AS0046-C,1
AS0047-C,1
AS0048-C,1
AS0049-C,1
AS0051-C,1
AS0052-C,1
AS0053-C,1
AS0054-C,0
AS0055-C,1
AS0056-C,1
AS0057-C,1
AS0058-Cx,1
AS0059-C,1
AS0060-C,1
AS0062-C,1
AS0064-C,1
AS0065-C,1
AS0066-C,1
AS0068-C,1
AS0069-C,1
AS0070-C,1
AS0071-C,0
AS0072-Cx,1
AS0073-C,1
AS0074-C,1
AS0076-C,1
AS0077-C,1
AS0078-C,1
AA0052-C,2
AA0103-C,1
AA0115-C,2
AA0050-C,2
AA0134-C,0
AA0063-C,1
AA0040-C,1
AA0064-C,0
AA0088-C,1
AA0100-C,0
AA0077-C,0
AA0055-C,0
AA0116-C,0
AA0059-C,0
AA0084-C,1
AA0066-C,0
AA0106-C,1
AA0107-C,1
AA0060-C,0
AA0051-C,1
AA0087-C,1
AA0065-C,1
AA0125-C,0
AA0104-C,1
AA0119-C,0
AA0061-C,0
AA0098-C,1
AA0112-C,2
AA0089-C,1
AA0101-C,2
AA0113-C,0
AA0044-C,0
AA0105-C,0
AA0070-C,0
AA0075-C,0
AA0041-C,2
AA0042-C,1
AA0114-C,1
AA0126-C,0
AA0093-C,0
AA0123-C,1
AA0054-C,0
AA0128-C,1
AA0129-C,1
AA0094-C,1
AA0118-C,0
AA0071-C,1
AA0097-C,0
AA0092-C,0
AA0047-C,1
AA0141-C,1
AA0039-C,1
AA0046-C,0
